region,ownd,inc,sex,wlth,donr,RANGE_gifa,RANGE_gifdol,RANGE_gifl,RANGE_gifr,RANGE_hv,RANGE_incavg,RANGE_incmed,RANGE_kids,RANGE_lag,RANGE_low,RANGE_mdon,RANGE_npro,_WARN_,U_donr,b_donr,EM_SEGMENT,EM_EVENTPROBABILITY,EM_PROBABILITY,EM_CLASSIFICATION
ter3,1,5,1,8,,0.217279726,0.031794872,0.018779343,0.052325581,0.382397572,0.278388278,0.201413428,0.2,0.212121212,0.068965517,0.485714286,0.378881988,,0,11,11,0.399537121,0.600462879,0
ter5,1,4,0,8,,0.106358711,0.016410256,0.023474178,0.034883721,0.403641882,0.391941392,0.413427562,0.2,0.181818182,0,0.257142857,0.298136646,,1,8,8,0.834761361,0.834761361,1
ter3,1,3,1,5,,0.169232963,0.06974359,0.039123631,0.191860465,0.216995448,0.358974359,0.381625442,0.4,0.090909091,0,0.257142857,0.447204969,,0,12,12,0.313310507,0.686689493,0
ter1,0,3,1,8,,0.044339892,0.024615385,0.00312989,0.01744186,0.115326252,0.06959707,0.070671378,0.4,0.242424242,0.172413793,0.285714286,0.223602484,,0,18,18,0.001836122,0.998163878,0
ter3,0,4,0,3,,0.136441403,0.083076923,0.045383412,0.197674419,0.130500759,0.095238095,0.060070671,0.4,0.818181818,0.195402299,0.514285714,0.571428571,,0,20,20,0.000106672,0.999893328,0
ter3,1,3,0,9,,0.185343599,0.008717949,0.039123631,0.139534884,0.438543247,0.377289377,0.286219081,0,0.090909091,0.011494253,0.457142857,0.118012422,,1,6,6,0.911203088,0.911203088,1
ter4,1,4,1,9,,0.118477331,0.031282051,0.018779343,0.040697674,0.2215478,0.212454212,0.212014134,0.2,0.272727273,0.022988506,0.342857143,0.329192547,,1,9,9,0.782662732,0.782662732,1
ter5,1,3,0,8,,0.195751354,0.116923077,0.026604069,0.069767442,0.132018209,0.065934066,0.077738516,0.2,0.393939394,0.367816092,0.285714286,0.664596273,,0,13,13,0.185432621,0.814567379,0
ter2,1,1,1,9,,0.064157399,0.010769231,0.015649452,0.040697674,0.04400607,0.098901099,0.130742049,0.6,0.090909091,0.252873563,0.314285714,0.105590062,,0,16,16,0.016196557,0.983803443,0
ter4,0,7,1,8,,0.186911891,0.039487179,0.064162754,0.23255814,0.182094082,0.15018315,0.141342756,0.4,0.151515152,0.114942529,0.285714286,0.48447205,,0,18,18,0.001034854,0.998965146,0
ter2,0,1,1,8,,0.129883091,0,0.020344288,0.122093023,0.119878604,0.179487179,0.180212014,0.6,0.151515152,0.045977011,0.257142857,0.062111801,,0,20,20,5.94954E-05,0.999940505,0
ter4,1,4,0,8,,0.043341888,0.062051282,0.001564945,0.011627907,0.132018209,0.194139194,0.141342756,0.4,0.242424242,0.114942529,0.4,0.51552795,,0,11,11,0.467885567,0.532114433,0
ter2,1,4,1,4,,0.079270031,0.033846154,0.009389671,0.081395349,0.20030349,0.120879121,0.081272085,0.4,0.181818182,0.229885057,0.485714286,0.447204969,,1,10,10,0.607073729,0.607073729,1
ter1,1,2,0,6,,0.117907043,0.022564103,0.025039124,0.093023256,0.1107739,0.058608059,0.088339223,0,0.212121212,0.206896552,0.571428571,0.285714286,,1,10,10,0.59395444,0.59395444,1
ter1,1,7,0,8,,0.121613915,0.031282051,0.025039124,0.122093023,0.168437026,0.084249084,0.116607774,0.6,0.272727273,0.275862069,0.514285714,0.167701863,,0,17,17,0.005879974,0.994120026,0
ter1,0,6,1,7,,0.098517251,0.012307692,0.015649452,0.029069767,0.142640364,0.102564103,0.088339223,0,0.121212121,0.103448276,0.428571429,0.049689441,,0,12,12,0.238520812,0.761479188,0
ter3,1,4,1,3,,0.113772455,0.012820513,0.056338028,0.13372093,0.103186646,0.113553114,0.070671378,0.4,0.060606061,0.034482759,0.542857143,0.167701863,,0,16,16,0.008404267,0.991595733,0
ter2,1,5,1,8,,0.195038494,0.03025641,0.070422535,0.244186047,0.080424886,0.076923077,0.056537102,0.8,0.151515152,0.32183908,0.314285714,0.50310559,,0,12,12,0.23453883,0.76546117,0
ter2,1,4,0,4,,0.151981751,0.165128205,0.020344288,0.046511628,0.127465857,0.098901099,0.06360424,0.2,0.181818182,0.183908046,0.285714286,0.527950311,,1,5,5,0.95784876,0.95784876,1
ter1,1,4,0,8,,0.025520388,0.026153846,0.00312989,0.029069767,0.165402124,0.175824176,0.204946996,0,0.303030303,0.011494253,0.342857143,0.298136646,,1,2,2,0.989319242,0.989319242,1
ter2,1,7,1,0,,0.059452524,0.014358974,0.021909233,0.093023256,0.209408194,0.135531136,0.070671378,0.4,0.151515152,0.149425287,0.342857143,0.086956522,,0,17,17,0.004377942,0.995622058,0
ter2,1,2,1,3,,0.033076704,0.041538462,0.004694836,0.034883721,0.1107739,0.065934066,0.09540636,0.4,0.060606061,0.172413793,0.457142857,0.242236025,,0,16,16,0.014042566,0.985957434,0
ter3,1,4,1,8,,0.228542914,0.046153846,0.073552426,0.145348837,0.109256449,0.043956044,0.053003534,0.4,0.090909091,0.413793103,0.228571429,0.52173913,,0,11,11,0.438496421,0.561503579,0
ter5,1,4,0,6,,0.160821215,0.018974359,0.046948357,0.127906977,0.083459788,0.080586081,0.056537102,0.6,0.151515152,0.367816092,0.542857143,0.242236025,,0,16,16,0.011367027,0.988632973,0
ter5,1,6,0,9,,0.272027374,0.047179487,0.029733959,0.104651163,0.119878604,0.120879121,0.151943463,0.8,0.121212121,0.137931034,0.314285714,0.372670807,,0,18,18,0.001652532,0.998347468,0
ter2,1,3,0,8,,0.161391503,0.015897436,0.025039124,0.104651163,0.142640364,0.161172161,0.070671378,0.2,0.060606061,0.183908046,0.514285714,0.142857143,,1,6,6,0.925605223,0.925605223,1
ter5,1,1,1,6,,0.374821785,0.009230769,0.061032864,0.093023256,0.125948407,0.102564103,0.081272085,0,0.151515152,0.32183908,0.4,0.062111801,,0,15,15,0.022606634,0.977393366,0
ter1,1,7,1,6,,0.183205019,0.018974359,0.028169014,0.151162791,0.204855842,0.135531136,0.155477032,1,0.121212121,0.114942529,0.314285714,0.161490683,,0,18,18,0.001494614,0.998505386,0
ter4,1,4,1,8,,0.090390647,0.037948718,0.007824726,0.023255814,0.119878604,0.106227106,0.123674912,0.6,0.212121212,0.114942529,0.514285714,0.385093168,,0,15,15,0.049543951,0.950456049,0
ter2,1,3,1,9,,0.038922156,0.018974359,0.00312989,0.01744186,0.191198786,0.575091575,0.590106007,0.8,0.212121212,0,0.514285714,0.142857143,,0,11,11,0.403634569,0.596365431,0
ter3,1,4,0,8,,0.109780439,0.043589744,0.017214397,0.034883721,0.248861912,0.146520147,0.127208481,0.6,0.060606061,0.022988506,0.314285714,0.51552795,,0,11,11,0.400112627,0.599887373,0
ter5,1,4,1,6,,0.278585686,0.031794872,0.129890454,0.23255814,0.185128983,0.142857143,0.077738516,0,0.212121212,0.275862069,0.942857143,0.273291925,,1,9,9,0.742007448,0.742007448,1
